model,task_id,role,hard,judge,total,reason,status,error
Ministral-3-8B-Reasoning-2512-Q6_K,K02,Critic,66.2,60.0,64.03,required 1/4; forbidden=none; chars=1764 | JUDGE: 1) Hardcoded credentials issue references 'admin' user not present in auth.py (only PASSWORD variable exists). 2) Basic Auth/Request Body scenario invents requirements not mentioned in request.txt. 3) HTTPS vulnerability assumes network protocol details not shown in original materials. 4) Modification directions for 'authenticate()' function don't align with actual login() implementation in auth.py.,DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,K03,Critic,100.0,75.0,91.25,"required 5/5; forbidden=none; chars=607 | JUDGE: 원자료와 비교해 슬라이드 1/2/3에 명확한 사실오류가 존재하며, 의사결정 리스크(검증 미비 확대)와 시각적 정보 밀도 부족(텍스트 부족, 핵심 메시지 누락)이 지적됨. 다만 구체적인 수정 권고와 inspect_pptx 기반 분석이 포함되어 있어 일부 개선 필요.",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,P01,PPT,80.3,60.0,76.24,"open=OK; slides=8/8; required=5/6; visuals=5/2,charts=3/0,tables=2/0; objective=22.0/40; forbidden=none; design=100.0/100 (weighted 25.0/25) sparse=[] empty_tables=0 dict_leaks=0; judge_cap=60 | JUDGE: [objective cap 60; raw judge 78.0] PPT AUDIT indicates 2026 pilot scope clarification failure (3.1% defect rate not explicitly tied to pilot line in charts) and missing source data values in visuals. While design score is perfect, required data visualizations lack explicit pilot line context. Final recommendation includes conditions but lacks direct linkage between risks and decision criteria. Two data visualizations exist but fail to fully meet source accuracy requirements.",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,P02,PPT,76.3,60.0,73.03999999999999,"open=OK; slides=4/7; required=5/6; visuals=3/2,charts=1/1,tables=2/1; objective=28.0/40; forbidden=none; design=100.0/100 (weighted 25.0/25) sparse=[] empty_tables=0 dict_leaks=0; judge_cap=60 | JUDGE: [objective cap 60; raw judge 76.0] PPT AUDIT indicates critical table/chart errors (risk table missing 1 row, cumulative chart mismatch) and incomplete risk analysis. While payback period (3.3 years) matches data and design quality is strong, objective accuracy issues undermine decision-making clarity. Slides lack full alignment with source data requirements for cumulative cash flow visualization and risk completeness.",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,P03,PPT,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: incident_review.pptx: most content slides lack takeaway
Ministral-3-8B-Reasoning-2512-Q6_K,R01,Research,100.0,95.0,98.25,"required 5/5; citations 8/4; forbidden=none; chars=1177 | JUDGE: 최신 공고(final_notice.txt)를 정확히 식별하고 충돌 정보(예산/마감일/지원대상)를 명시적으로 분리함. 근거 인용이 주장과 연결되어 있으며, 의사결정에 필요한 요건(컨소시엄 구성, 예산 계획)과 리스크(사전안내와의 차이)가 빠짐없이 정리됨. 산출물에 없는 시각요소/표 없음. 단, '121억원' 계산 근거(공고 예산 - 자체부담)는 명시적 인용 없이 암시되어 소폭 수정 필요.",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,R02,Research,80.0,95.0,85.25,"required 6/6; citations 0/5; forbidden=none; chars=896 | JUDGE: 모든 필수조건을 AND 조건으로 정확히 적용함. 2년 비용 계산이 정확하고, 탈락 사유가 요구조건과 직접 연결됨. 근거 인용도 파일명:L행 형식으로 충실하게 이행됨. Vendor C의 온프레미스 배포 불가 사항을 [vendor_C.txt#L4]로 명시한 점이 구체적임. 유일한 미비점은 '2억원 이하' 조건을 강조하기 위해 텍스트 포맷에 굵게 표기하는 등 시각적 계층 강화가 가능함.",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,R03,Research,80.0,85.0,81.75,"required 5/5; citations 0/5; forbidden=none; chars=1875 | JUDGE: 타임라인은 원자료와 일치하며, 직접 트리거(온도 상승)와 근본원인(분진 축적) 구분이 명확하다. 그러나 '정기 윤활 미실행'이라는 근본원인은 유지보수 노트(L2)에 따르면 표준 절차대로 완료되었음을 명시하고 있어, 산출물에 없는 가정을 포함해 불확실성 표현이 부족하다. 다음 검증조치는 구체적이지만, '환경 요인'은 원자료에서 직접적인 근거가 없어 복수 가능성 언급 시 주의가 필요했다.",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,W01,Writer,62.5,95.0,80.375,"required 1/6; forbidden=none; chars=1721 | JUDGE: 결론(조건부 승인)이 명확하고 원자료 수치(4.2억/0.6억/3.0억/22%)와 일치함. 파일럿 한계(단일 라인, 확장성 미검증)를 분명히 언급했으며, 재무효과 과장 없이 '비용 절감 잠재력'으로 표현. 다음 단계(6라인 확대 검증)는 실행 가능하며, 요청사항의 1페이지 제한을 준수. [PPT AUDIT] 기준으로 정보밀도와 스토리라인이 적절함.",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,W02,Writer,100.0,95.0,97.25,"required 6/6; forbidden=none; chars=1429 | JUDGE: 타임라인과 영향이 명확히 분리되었으며, 직접원인/프로세스 원인 구분이 잘 이루어짐. 확인되지 않은 수치는 포함되지 않음. 재발방지 조치에 owner/검증 내용은 산출물에 없으나, 원자료에도 해당 정보가 없어 제외함. 전문적 문체 유지 및 섹션 구성 완비.",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,W03,Writer,93.6,95.0,94.37,"required 6/7; forbidden=none; chars=1206 | JUDGE: 변경 요청 기록(티켓 번호), 승인자/작업자 분리, 사전 백업 확인, 롤백 책임 명확화 등 감사 지적 모두 반영. 일반/긴급 변경 절차 구분 및 단계별 체크리스트 제공으로 현장 사용성 확보. 다만 '실행 전 확인사항 (긴급)'에서 복구 테스트 생략 사항이 정확히 명시되어야 할 가능성이 있음.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,C01,Coding,0.0,,0.0,"pytest passed=0 failed=9; tampered=[]; ')
        taxable = subtotal - discount
        if member:
            taxable -= subtotal * Decimal('0.05')
>       decimal_total = Decimal(str(taxable)) * (1 + tax_rate)
                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
E       TypeError: unsupported operand type(s) for *: 'decimal.Decimal' and 'float'

pricing.py:12: TypeError
=========================== short test summary info ===========================
FAILED tests\test_pricing.py::test_no_discount - TypeError: unsupported opera...
FAILED tests\test_pricing.py::test_volume_discount - TypeError: unsupported o...
FAILED tests\test_pricing.py::test_member_after_volume_discount - TypeError: ...
FAILED tests\test_pricing.py::test_member_only - TypeError: unsupported opera...
FAILED tests\test_pricing.py::test_half_up_rounding - TypeError: unsupported ...
FAILED ..\..\..\fixtures\C01\_grader\test_hidden_pricing.py::test_threshold_below
FAILED ..\..\..\fixtures\C01\_grader\test_hidden_pricing.py::test_empty_invoice
FAILED ..\..\..\fixtures\C01\_grader\test_hidden_pricing.py::test_member_below_threshold
FAILED ..\..\..\fixtures\C01\_grader\test_hidden_pricing.py::test_bankers_rounding_must_not_be_used
9 failed in 0.05s
",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,C02,Coding,100.0,,100.0,"pytest passed=6 failed=0; tampered=[]; ......                                                                   [100%]
6 passed in 0.25s
",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,C03,Coding,12.5,,12.5,"pytest passed=1 failed=7; tampered=[]; _api.py:7: Failed
____________________ test_arbitrary_exception_not_retried _____________________

    def test_arbitrary_exception_not_retried():
        calls=[]
        def tr(k):
            calls.append(k)
            raise ValueError('bad local input')
        with pytest.raises(ValueError): ApiClient(tr,max_retries=3).get('x')
>       assert len(calls)==1
E       AssertionError: assert 4 == 1
E        +  where 4 = len(['x', 'x', 'x', 'x'])

..\..\..\fixtures\C03\_grader\test_hidden_api.py:16: AssertionError
=========================== short test summary info ===========================
FAILED tests\test_api_client.py::test_success_cached - RuntimeError: HTTP 200
FAILED tests\test_api_client.py::test_500_retried_then_success - RuntimeError...
FAILED tests\test_api_client.py::test_429_retried - IndexError: pop from empt...
FAILED tests\test_api_client.py::test_404_not_retried - Failed: DID NOT RAISE...
FAILED tests\test_api_client.py::test_failure_not_cached - AssertionError: as...
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_400_immediate
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_arbitrary_exception_not_retried
7 failed, 1 passed in 0.05s
",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,D01,Data,100.0,,100.0,metrics 5/5; files 2/2; defect_rate_2024=0.053636363636363635 True; defect_rate_2025=0.04791666666666667 True; defect_rate_2026_pilot=0.0312 True; highest_downtime_line_all_years=B True; pilot_caveat=True True,DONE,
Qwen2.5-14B-Instruct-Q5_K_M,D02,Data,67.9,,67.9,metrics 4/7; files 2/2; line_A_mtbf=180.0 True; line_B_mtbf=100.0 True; line_C_mtbf=146.0 True; line_A_mttr_h=45.0 False; line_B_mttr_h=30.0 False; line_C_mttr_h=25.0 False; priority_line=B True,DONE,
Qwen2.5-14B-Instruct-Q5_K_M,D03,Data,25.0,,25.0,metrics 0/5; files 2/2; old_yield=missing; new_yield=missing; improvement_pp=missing; annual_scrap_saving_won=missing; recommend_new=missing,DONE,
Qwen2.5-14B-Instruct-Q5_K_M,K01,Critic,100.0,95.0,98.25,"required 6/6; forbidden=none; chars=683 | JUDGE: 산출물은 원자료 기반으로 불량률 감소율 오류(38% vs 50%), AI 도입의 유일성 과장, 연간 절감액 근거 부족 등 중대한 사실오류를 모두 탐지했으며, severity 분류와 수정안이 정확함. 다만 '전사 확대 시'라는 표현을 그대로 유지해 '전체 공장 적용'에 대한 구체적 검증 필요성을 더 명시하는 것이 추가 개선 포인트일 수 있음.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,K02,Critic,88.8,95.0,90.97,"required 3/4; forbidden=none; chars=797 | JUDGE: 산출물은 원자료 기반으로 4개의 독립적 보안 문제를 정확히 식별함. 하드코딩 비밀번호, SQL 인젝션, 로그 출력, 권한 관리 부재가 현실적인 시나리오와 구체적 수정 방향을 제시함. 다만 '권한 관리 부재'의 경우 코드 내 역할 반환 메커니즘에 대한 명확한 설명이 부족해 severity 중간 수준 논리성이 약간 미흡. 나머지 문제는 모두 원자료와 일치하며, PPT AUDIT 기준에서 정보밀도 및 스토리라인 완성도가 높음.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,K03,Critic,85.0,65.0,78.0,"required 5/5; forbidden=none; chars=521 | JUDGE: 원자료에 따르면 2026년 불량률 3.1%는 파일럿 라인 수치이며, ROI/절감액은 산정되지 않았으나 PPT에 명시되어 사실오류 발생. 추진안 슬라이드는 검증 전 확대를 제안하지만 원자료는 추가 검증 계획으로 모순. 시각적 요소(차트/표) 부재 및 결론 미비로 정보밀도와 마무리 완성도 저하.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,P01,PPT,70.0,60.0,68.0,"open=OK; slides=6/8; required=6/6; visuals=4/2,charts=4/0,tables=0/0; objective=18.0/40; forbidden=none; design=100.0/100 (weighted 25.0/25) sparse=[] empty_tables=0 dict_leaks=0; judge_cap=60 | JUDGE: [objective cap 60; raw judge 70.0] PPT AUDIT indicates critical issues: defect chart doesn't match source data (2026 defect rate shown as 3.1% instead of 0.031), second data visualization is missing, and final recommendation lacks explicit conditions/risks linkage. While design quality is strong, content accuracy and requirement fulfillment (e.g., 2026 pilot scope clarification) are insufficient for higher scoring.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,P02,PPT,54.9,60.0,55.92,"open=OK; slides=4/7; required=2/6; visuals=2/2,charts=1/1,tables=1/1; objective=12.0/40; forbidden=none; design=98.3/100 (weighted 24.6/25) sparse=[] empty_tables=0 dict_leaks=0; judge_cap=60 | JUDGE: [objective cap 60; raw judge 62.0] PPT AUDIT reveals critical errors: cumulative cash flow chart mismatch (false), payback period miscalculation (3.29 vs reported 3 years), and incomplete risk table (2/3 rows). While design score is high (98.3) with proper visuals, objective accuracy failures (critical numeric/table/chart errors) undermine investment committee usability. Sparse slides and missing final decision linkages further reduce practical viability despite acceptable visual hierarchy.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,P03,PPT,90.8,90.0,90.64,"open=OK; slides=7/6; required=6/6; visuals=3/1,charts=2/0,tables=1/1; objective=35.2/40; forbidden=none; design=98.3/100 (weighted 24.6/25) sparse=[] empty_tables=0 dict_leaks=0; judge_cap=100 | JUDGE: PPT AUDIT indicates all required elements (timeline, direct trigger, root cause uncertainty, action table) are present with no critical errors. Design score of 98.3 shows strong visual hierarchy and information density. Root cause uncertainty explicitly mentions missing vibration data as per brief. Action table has complete rows. Minor redundancy in Slide 7 exists but doesn't impact core requirements.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,R01,Research,91.0,85.0,88.89999999999999,"required 4/5; citations 4/4; forbidden=none; chars=495 | JUDGE: 산출물은 원자료 기반의 정확한 인용과 내용 전달을 완료했으나, '충돌 정보 명시적 분리' 요건에서 사전안내와 확정공고 간 예산(120억→135억) 및 마감일(4월30일→5월7일) 차이를 '변경'而非'충돌'로 처리해 충돌 요소가 누락됨. 또한 의사결정 리스크 항목에서 컨소시엄 구성 요구사항과 기술성 평가 기준 검토 필요성을 명시적으로 강조하지 않음.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,R02,Research,100.0,95.0,98.25,"required 6/6; citations 12/5; forbidden=none; chars=899 | JUDGE: 산출물은 요구사항과 원자료를 정확히 반영하여 필수조건 AND 적용, 비용 계산, 인용 충실성 모두 준수. Vendor A/B/C의 탈락/추천 근거가 명확하며, [vendor_C.txt:L4]에서 'SaaS 전용' 정보는 원자료에 정확히 기재됨. 다만 '공장망 내부 온프레미스' 표현과 같은 세부사항에서 약간의 해석 여지가 존재할 수 있어 완벽한 100점은 제외.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,R03,Research,91.0,95.0,92.4,"required 4/5; citations 12/5; forbidden=none; chars=820 | JUDGE: 타임라인은 원자료와 정확히 일치하며, 직접 트리거(분진 축적)와 근본원인(냉각 유량 저하 추정) 구분이 명확하다. 확인 불가능한 항목과 검증조치는 모두 원자료에 기반하여 작성되었고, '추정되나' 등의 표현으로 불확실성을 적절히 반영했다. 다만 '냉각 유량 저하'라는 구체적 원인을 제시하면서도 베어링 진동 데이터 누락을 명시해 근본원인 분석의 한계를 보여주는 점에서 높은 점수를 부여한다.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,W01,Writer,77.5,95.0,87.125,"required 5/6; forbidden=none; chars=424 | JUDGE: 결론이 경영진 관점에서 명확하게 시작되었고, 원자료의 수치(4.2억, 0.6억, 22%, 14%)가 정확히 반영됨. 불확실성 부분에서 파일럿의 단일 라인 한계를 명시하고, 전체 확정 효과에 대한 추가 분석을 요구함. 다음 단계도 실행 가능하며, 산출물에 없는 내용은 포함되지 않음. 다만 파일럿 기간(8주) 정보가 생략되어 소폭 감점.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,W02,Writer,85.0,85.0,85.0,"required 6/6; forbidden=none; chars=449 | JUDGE: 타임라인과 영향이 분리되고, 직접원인/근본원인 구분이 명확합니다. 그러나 재발방지 조치 섹션에 책임자(owner) 및 검증 방법이 누락되어 있습니다. 요청사항 중 'owner/검증 드러남' 요건을 부분적으로 충족하지 못해 5점 감점되었습니다. 나머지 항목은 원자료 기준에서 적절히 반영되었습니다.",DONE,
Qwen2.5-14B-Instruct-Q5_K_M,W03,Writer,85.0,85.0,85.0,"required 7/7; forbidden=none; chars=534 | JUDGE: 일반/긴급 변경 절차 분리 및 단계 명확화(사전/실행/롤백)는 충족. 감사 지적 중 '티켓 번호 기록', '승인자-작업자 분리', '백업 확인'은 반영됨. 다만 '롤백 책임자 명시'와 '검증 단계 구체성'은 산출물에 명시되지 않음. 체크리스트 형식으로 실무 활용 가능하며, 정확한 개정 요구사항(정책.txt)을 반영함.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,C01,Coding,0.0,,0.0,"pytest passed=0 failed=1; tampered=[]; port_path
    importlib.import_module(module_name)
C:\Users\<USER>\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py:126: in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
<frozen importlib._bootstrap>:1206: in _gcd_import
    ???
<frozen importlib._bootstrap>:1178: in _find_and_load
    ???
<frozen importlib._bootstrap>:1149: in _find_and_load_unlocked
    ???
<frozen importlib._bootstrap>:690: in _load_unlocked
    ???
..\..\..\.venv\Lib\site-packages\_pytest\assertion\rewrite.py:188: in exec_module
    exec(co, module.__dict__)
..\..\..\fixtures\C01\_grader\test_hidden_pricing.py:1: in <module>
    from pricing import calculate_invoice
E     File ""C:\AI\Benchmark_v7_2_2\runs\Qwen2.5-Coder-14B-Instruct-Q5_K_M\C01\pricing.py"", line 13
E       total = taxable * (1 + tax_rate)
E   IndentationError: unexpected indent
=========================== short test summary info ===========================
ERROR tests\test_pricing.py
ERROR ..\..\..\fixtures\C01\_grader\test_hidden_pricing.py
!!!!!!!!!!!!!!!!!!! Interrupted: 2 errors during collection !!!!!!!!!!!!!!!!!!!
2 errors in 0.12s
",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,C02,Coding,50.0,,50.0,"pytest passed=3 failed=3; tampered=[]; rolling_at_index_2 ___________________________

    def test_rolling_at_index_2():
        df = pd.DataFrame({'value':[10,20,30,1000]})
        x = make_feature(df, 3)
>       assert abs(float(x.loc[2,'ma']) - 20.0) < 1e-9
E       assert 330.0 < 1e-09
E        +  where 330.0 = abs((350.0 - 20.0))
E        +    where 350.0 = float(np.float64(350.0))

C:\AI\Benchmark_v7_2_1\runs\Qwen2.5-Coder-14B-Instruct-Q5_K_M\C02\tests\test_pipeline.py:13: AssertionError
________________________ test_first_row_uses_only_self ________________________

    def test_first_row_uses_only_self():
        df=pd.DataFrame({'value':[5,50,500]})
        x=make_feature(df,3)
>       assert float(x.loc[0,'ma'])==5.0
E       assert 27.5 == 5.0
E        +  where 27.5 = float(np.float64(27.5))

..\..\..\fixtures\C02\_grader\test_hidden_pipeline.py:7: AssertionError
=========================== short test summary info ===========================
FAILED tests\test_pipeline.py::test_no_future_leakage - assert 5.0 < 1e-09
FAILED tests\test_pipeline.py::test_rolling_at_index_2 - assert 330.0 < 1e-09
FAILED ..\..\..\fixtures\C02\_grader\test_hidden_pipeline.py::test_first_row_uses_only_self
3 failed, 3 passed in 0.29s
",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,C03,Coding,50.0,,50.0,"pytest passed=4 failed=4; tampered=[]; ytest.raises(RuntimeError): ApiClient(tr,max_retries=5).get('x')
>       assert len(calls)==1
E       AssertionError: assert 6 == 1
E        +  where 6 = len(['x', 'x', 'x', 'x', 'x', 'x'])

..\..\..\fixtures\C03\_grader\test_hidden_api.py:8: AssertionError
____________________ test_arbitrary_exception_not_retried _____________________

    def test_arbitrary_exception_not_retried():
        calls=[]
        def tr(k):
            calls.append(k)
            raise ValueError('bad local input')
        with pytest.raises(ValueError): ApiClient(tr,max_retries=3).get('x')
>       assert len(calls)==1
E       AssertionError: assert 4 == 1
E        +  where 4 = len(['x', 'x', 'x', 'x'])

..\..\..\fixtures\C03\_grader\test_hidden_api.py:16: AssertionError
=========================== short test summary info ===========================
FAILED tests\test_api_client.py::test_404_not_retried - AssertionError: asser...
FAILED tests\test_api_client.py::test_failure_not_cached - AssertionError: as...
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_400_immediate
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_arbitrary_exception_not_retried
4 failed, 4 passed in 0.04s
",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,D01,Data,55.0,,55.0,metrics 2/5; files 2/2; defect_rate_2024=5.363636363636363 False; defect_rate_2025=4.791666666666667 False; defect_rate_2026_pilot=3.1199999999999997 False; highest_downtime_line_all_years=B True; pilot_caveat=True True,DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,D02,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: analysis.json: missing; maintenance_summary.csv: missing; mtbf.png: missing
Qwen2.5-Coder-14B-Instruct-Q5_K_M,D03,Data,25.0,,25.0,metrics 0/5; files 2/2; old_yield=missing; new_yield=missing; improvement_pp=missing; annual_scrap_saving_won=missing; recommend_new=missing,DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,K01,Critic,62.5,85.0,70.375,"required 3/6; forbidden=none; chars=228 | JUDGE: 중대한 사실오류(불량률 50% 감소 오류, 파일럿 범위 누락)와 근거 부재(20억원 절감 예측)를 탐지했으나, 계산 오류(5% → 3.1%는 38% 감소)에 대한 구체적 언급이 생략됨. AI 생산성 기여도의 인과 과장은 지적했으나, 수정안의 실행 가능성 명확성은 약간 부족함.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,K02,Critic,88.8,95.0,90.97,"required 3/4; forbidden=none; chars=2473 | JUDGE: 4개의 독립적 보안 문제를 정확히 식별함. 하드코딩 비밀번호, SQL 인젝션, 입력 검증 부재, 로깅 누락이 모두 원자료 기반으로 타당하며 시나리오와 수정 방향이 구체적임. severity 분류(고/중)도 합리적이며, 산출물에 없는 추가 요소 없이 객관적으로 검토됨.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,K03,Critic,76.0,75.0,75.65,"required 4/5; forbidden=none; chars=373 | JUDGE: 실제 산출물에 명시된 사실오류(슬라이드1/4)와 의사결정 리스크(슬라이드2/3)가 존재하며, 시각·가독성 문제(핵심 메시지 부재, 정보밀도 낮음)가 제시됨. 원자료 기준으로 수정이 필요한 사항이 확인되었으나, 슬라이드 구조와 핵심 내용 전달은 기본적으로 완성됨.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,P01,PPT,69.2,60.0,67.36,"open=OK; slides=8/8; required=2/6; visuals=2/2,charts=2/0,tables=0/0; objective=16.0/40; forbidden=none; design=99.3/100 (weighted 24.8/25) sparse=[] empty_tables=0 dict_leaks=0; judge_cap=60 | JUDGE: [objective cap 60; raw judge 69.0] PPT AUDIT indicates critical issues: 2026 pilot scope not clearly marked in charts (2026_pilot_scope_with_3.1: false), source values absent from defect/OEE charts, and final recommendation lacks conditions/risks. While design score is high (99.3), objective errors (e.g., missing data precision, sparse takeaway slides) hinder decision-making clarity. Slides 3-4 lack exact KPI values in visuals, violating brief requirements. Last slide's recommendation is vague without explicit conditions.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,P02,PPT,88.0,70.0,84.4,"open=OK; slides=7/7; required=6/6; visuals=2/2,charts=1/1,tables=1/1; objective=28.0/40; forbidden=none; design=100.0/100 (weighted 25.0/25) sparse=[] empty_tables=0 dict_leaks=0; judge_cap=70 | JUDGE: [objective cap 70; raw judge 88.0] PPT는 누적 현금흐름 차트와 리스크 표를 포함해 요구사항 충족. 그러나 회수시점(payback) 계산이 데이터 기준(3.29년)과 일치하지 않으며, 원자료에 없는 '단순 매출' 표현이 존재. 디자인 완성도는 높으나 숫자 정확성 문제로 88점 부여.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,P03,PPT,78.0,60.0,74.4,"open=OK; slides=6/6; required=6/6; visuals=0/1,charts=0/0,tables=0/1; objective=28.0/40; forbidden=none; design=80.0/100 (weighted 20.0/25) sparse=[4] empty_tables=0 dict_leaks=0; judge_cap=60 | JUDGE: [objective cap 60; raw judge 78.0] PPT AUDIT indicates incomplete action table (0/3 rows filled) violating requirements. Slide 4 is sparse with minimal content. Root cause uncertainty is addressed but lacks visual differentiation. Timeline exists but no charts/tables shown. Design score is strong but critical action table error and sparse slides lower practical completeness.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,R01,Research,100.0,95.0,98.25,"required 5/5; citations 15/4; forbidden=none; chars=1065 | JUDGE: 산출물은 원자료 기반의 충돌 정보(예산/마감일)를 명확히 분리하고, 모든 주장에 [파일:L] 형식으로 근거를 부여했다. 의사결정 요인(기술성 평가 기준, 예산 한도)과 리스크(외부 메모의 과거 일정 인용 위험)를 모두 포함했으나, '팀 예산 한도 내 신청' 부분에서 확정 공고의 총예산 135억원 대비 자체부담 포함 14억원의 관계성이 약간 모호한 점이 있다. 다만 원자료에 없는 사실을 추가하지 않았으며, PPT AUDIT 기준으로도 정보 밀도와 구조가 적절하다.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,R02,Research,27.5,40.0,31.875,"required 2/6; citations 0/5; forbidden=Vendor A를 추천; chars=140 | JUDGE: 산출물은 Vendor A와 B만 언급했으나, 필수조건을 AND로 적용하지 않았음. Vendor A의 P1 최초응답(8시간)이 4시간 기준을 위반함에도 탈락 사유를 생략함. Vendor B는 모든 조건을 충족하나, 산출물에서 명시적 추천 근거가 부재함. 비용 계산은 정확하지만, 요구조건과의 직접적인 연결이 결여됨.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,R03,Research,82.0,95.0,86.55000000000001,"required 3/5; citations 8/5; forbidden=none; chars=767 | JUDGE: 타임라인은 원자료 기반 정확히 구성되었으며, 직접 트리거와 근본원인 구분이 명확합니다. 가능 원인(분진 축적/베어링 마찰)은 manual.txt L4에 근거한 복수 제시로 타당성 있음. 불확실성 항목은 maintenance_note.txt L5의 누락 데이터를 정확히 인용했고, 검증 조치는 구체적입니다. 다만 '냉각 유량 저하' 원인과 분진 축적 간 직접적인 상관관계에 대한 언급이 없어 약간의 추가 설명이 필요할 수 있습니다.",DONE,
Qwen2.5-Coder-14B-Instruct-Q5_K_M,W01,Writer,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: executive_memo.md: missing
Qwen2.5-Coder-14B-Instruct-Q5_K_M,W02,Writer,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: postmortem.md: missing
Qwen2.5-Coder-14B-Instruct-Q5_K_M,W03,Writer,85.0,75.0,79.5,"required 7/7; forbidden=none; chars=502 | JUDGE: 일반/긴급 변경 절차 분리 및 감사 지적 반영(티켓번호, 백업, 24시간 사후승인)은 충족. 그러나 책임 흐름 명확성 부족(작업자-팀장 역할 중복 가능성), 롤백 기준 구체화 미비, 검증 단계 세부사항 누락. 체크리스트는 핵심 항목 포함했으나 실행 시점/방법에 대한 지침 부재.",DONE,
Qwen3-30B-A3B-Q5_K_M,C01,Coding,100.0,,100.0,"pytest passed=9 failed=0; tampered=[]; .........                                                                [100%]
9 passed in 0.02s
",DONE,
Qwen3-30B-A3B-Q5_K_M,C02,Coding,100.0,,100.0,"pytest passed=6 failed=0; tampered=[]; ......                                                                   [100%]
6 passed in 0.25s
",DONE,
Qwen3-30B-A3B-Q5_K_M,C03,Coding,50.0,,50.0,"pytest passed=4 failed=4; tampered=[]; ytest.raises(RuntimeError): ApiClient(tr,max_retries=5).get('x')
>       assert len(calls)==1
E       AssertionError: assert 6 == 1
E        +  where 6 = len(['x', 'x', 'x', 'x', 'x', 'x'])

..\..\..\fixtures\C03\_grader\test_hidden_api.py:8: AssertionError
____________________ test_arbitrary_exception_not_retried _____________________

    def test_arbitrary_exception_not_retried():
        calls=[]
        def tr(k):
            calls.append(k)
            raise ValueError('bad local input')
        with pytest.raises(ValueError): ApiClient(tr,max_retries=3).get('x')
>       assert len(calls)==1
E       AssertionError: assert 4 == 1
E        +  where 4 = len(['x', 'x', 'x', 'x'])

..\..\..\fixtures\C03\_grader\test_hidden_api.py:16: AssertionError
=========================== short test summary info ===========================
FAILED tests\test_api_client.py::test_404_not_retried - AssertionError: asser...
FAILED tests\test_api_client.py::test_failure_not_cached - AssertionError: as...
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_400_immediate
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_arbitrary_exception_not_retried
4 failed, 4 passed in 0.04s
",DONE,
