model,task_id,role,score,method,reason
Falcon-H1-7B-Instruct-Q6_K,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 표지 포함 7장으로 요구사항을 충족하지 못해 감점됨. 다른 항목은 기본적으로 준수되나, 전반적인 흐름과 명확성에서 개선이 필요함."
Falcon-H1-7B-Instruct-Q6_K,P02,PPT,80.0,hybrid,"Hybrid: 자동검증 80.0점 × 35% + Judge 80.0점 × 65%. Judge: 차트 유형과 제목은 적절하며, 파일럿 라인임을 명시한 하단 주석도 충족. 그러나 5.2%와 4.8%의 수치가 차트에서 강조 문장에 포함되지 않아 자동 검증 결과에 따라 감점."
Falcon-H1-7B-Instruct-Q6_K,P03,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 5장 구조 및 핵심 내용 수 준수, 개념 순서 자연스러움. VRAM과 양자화 설명 정확하며 멀티에이전트 배치 이유도 명확히 연결됨."
Falcon-H1-7B-Instruct-Q6_K,P04,PPT,50.0,objective,필수개념 1/2
Falcon-H1-7B-Instruct-Q6_K,R01,Research,100.0,objective,필수개념 3/3
Falcon-H1-7B-Instruct-Q6_K,R02,Research,50.0,objective,필수개념 2/4
Falcon-H1-7B-Instruct-Q6_K,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 센서 B가 요구조건을 만족한다고 잘못 판단하여 중대 오류. 자동검증 결과에도 명시된 '탈락 센서를 적합하다고 판단하는 역방향 주장'에 해당"
Falcon-H1-7B-Instruct-Q6_K,R04,Research,55.0,objective,"필수개념 3/4, 추측항목 포함 ['냉각팬'] → -20"
Falcon-H1-7B-Instruct-Q6_K,W01,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '한 개 라인에서만 검증'이 명시되었으나, '향후 다른 라인 검증 필요'가 약하게 표현되어 감점. 분량은 과다하고, 일부 과장된 표현(예: '중요한一步')이 포함됨."
Falcon-H1-7B-Instruct-Q6_K,W02,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 3문장으로 구성되었으나, 자동검증에서 5문장으로 인식되어 감점됨. 의미 전달은 잘 하지만 문장 수 준수에 실패함."
Falcon-H1-7B-Instruct-Q6_K,W03,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 비용/정확도/기간 수치는 정확히 반영되었으나, 일본어가 혼합되어 문체 일관성에 문제가 있음. 또한 '트레이드오프 설명'이 부족하고, 단일결론처럼 느껴지는 표현이 포함됨."
Falcon-H1-7B-Instruct-Q6_K,W04,Writer,97.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 95.0점 × 60%. Judge: 원인 미확정, 담당 구분, 금요일 재점검을 모두 충족했으나, '다음 주'라는 추가 정보가 원래 메모에 없어 약간의 과장이 있음."
GLM-4-9B-0414-Q4_K_M,C01,Coding,100.0,objective,필수개념 2/2
GLM-4-9B-0414-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
GLM-4-9B-0414-Q4_K_M,C03,Coding,100.0,objective,필수개념 5/5
GLM-4-9B-0414-Q4_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
GLM-4-9B-0414-Q4_K_M,C05,Coding,66.66666666666667,objective,필수개념 2/3
GLM-4-9B-0414-Q4_K_M,K01,Critic,50.0,objective,필수개념 1/2
GLM-4-9B-0414-Q4_K_M,K02,Critic,100.0,objective,필수개념 4/4
GLM-4-9B-0414-Q4_K_M,K03,Critic,92.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 85.0점 × 50%. Judge: 모순을 정확히 지적했으나, '7월 1일~31일은 약 4주'라는 구체적인 수치 설명이 부족해 일부 평가기준에서 미흡함"
GLM-4-9B-0414-Q4_K_M,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제를 식별하지 못했으며, 보안 헤더 설정은 문제에 포함되지 않음. SQL 인젝션 문제는 올바르게 지적했으나, 두 가지 문제 중 하나만 충족함."
GLM-4-9B-0414-Q4_K_M,K05,Critic,97.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 95.0점 × 50%. Judge: 3가지 비판 모두 자동검증 기준에 부합하며, 명확하고 논리적으로 작성됨. 다만 '성공률 기준의 설정 문제'에서 '11/12=91.7%'는 사실상 정확하므로, 이를 '과도하게 높거나 실재과학적이지 않다'고 판단한 점은 약간의 주관적 해석이 포함되어 감점."
GLM-4-9B-0414-Q4_K_M,D01,Data,0.0,objective,"기대값 86.0, 추출값 [1600.0, 20.0, 2700.0, 30.0, 80.0, 90.0, 170.0]"
GLM-4-9B-0414-Q4_K_M,D02,Data,100.0,objective,수치정답 2/2
GLM-4-9B-0414-Q4_K_M,D03,Data,100.0,objective,정답 0.2687 발견
GLM-4-9B-0414-Q4_K_M,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
GLM-4-9B-0414-Q4_K_M,D05,Data,0.0,objective,수치정답 0/2
GLM-4-9B-0414-Q4_K_M,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 7장으로 요구사항을 충족하지 못해 기본 점수에서 감점됨. 다른 항목은 대부분 준수했으나, 자동검증 결과에 따라 총점이 하락함."
GLM-4-9B-0414-Q4_K_M,P02,PPT,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형과 제목은 적절하지만, 수치(5.2%, 4.8%, 3.1%)가 차트에 명확히 표시되지 않아 자동검증에서 실패함. 파일럿 정보는 주석으로 충분히 표기됨."
GLM-4-9B-0414-Q4_K_M,P03,PPT,51.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 42.0점 × 55%, 실패한 핵심조건 상한 70.0점. Judge: 총 5장이 아님. 슬라이드별 핵심 내용이 2개 미만 또는 실질적 설명 부족. VRAM 정의가 불완전하고, 양자화와 멀티에이전트 역할배치 이유 연결이 약함."
GLM-4-9B-0414-Q4_K_M,P04,PPT,100.0,objective,필수개념 2/2
GLM-4-9B-0414-Q4_K_M,R01,Research,100.0,objective,필수개념 3/3
GLM-4-9B-0414-Q4_K_M,R02,Research,50.0,objective,필수개념 2/4
GLM-4-9B-0414-Q4_K_M,R03,Research,65.0,hybrid,Hybrid: 자동검증 90.0점 × 50% + Judge 40.0점 × 50%. Judge: 센서 B가 요구조건을 모두 만족한다고 잘못 판단하여 중대 오류. 센서 A는 측정범위와 샘플링이 미준수임에도 정확도만 언급함.
GLM-4-9B-0414-Q4_K_M,R04,Research,100.0,objective,필수개념 4/4
GLM-4-9B-0414-Q4_K_M,W01,Writer,75.5,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 80.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 수치와 기간이 정확히 포함되었으나, 분량이 부족하고 '한 개 라인' 한계 및 향후 검증 필요성은 명시되었으나 다소 간결하게 표현되어 감점."
GLM-4-9B-0414-Q4_K_M,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문 용어를 비전공자도 이해할 수 있도록 쉽게 설명함. 의미 훼손 없음."
GLM-4-9B-0414-Q4_K_M,W03,Writer,70.0,hybrid,"Hybrid: 자동검증 80.0점 × 40% + Judge 80.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 예산 우선 시 B안을 권고하는 내용은 정확히 반영했으나, '예산이 가장 중요할 때'와 '정확도가 가장 중요할 때'의 권고를 구분하고 트레이드오프를 설명한 점에서 높은 점수를 줬다. 다만 'B안 유지비 2천만원을 A안 1천만원보다 낮다고 뒤집은 주장'이 없어 자동검증에서 감점되었으나, 이는 내용 품질에 큰 영향을 주지 않았다."
GLM-4-9B-0414-Q4_K_M,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정과 담당 구분은 유지했으나, '서버 성능 저하 문제를 해결하기 위해' 등 원래 메모에 없는 내용이 추가되어 감점됨."
GLM-4-9B-0414-Q8_0,C01,Coding,100.0,objective,필수개념 2/2
GLM-4-9B-0414-Q8_0,C02,Coding,100.0,objective,필수개념 3/3
GLM-4-9B-0414-Q8_0,C03,Coding,100.0,objective,필수개념 5/5
GLM-4-9B-0414-Q8_0,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
GLM-4-9B-0414-Q8_0,C05,Coding,100.0,objective,필수개념 3/3
GLM-4-9B-0414-Q8_0,K01,Critic,100.0,objective,필수개념 2/2
GLM-4-9B-0414-Q8_0,K02,Critic,100.0,objective,필수개념 4/4
GLM-4-9B-0414-Q8_0,K03,Critic,85.0,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 70.0점 × 50%. Judge: 모순을 정확히 지적했으나, 7월이 4주라는 설명은 사실과 다름(31일은 약 4.4주). 또한 '6주'와 '8주'의 차이를 모순으로 제시하는 것은 옳으나, 자동검증 결과에서 '기간 모순 핵심 수치 #1~#4'가 PASS로 표시되어야 함에도 불구하고 이에 대한 명확한 언급이 없음."
GLM-4-9B-0414-Q8_0,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제를 식별하지 못했음. SQL Injection 문제는 올바르게 지적했으나, 두 가지 문제 중 하나만 제시함."
GLM-4-9B-0414-Q8_0,K05,Critic,60.0,hybrid,"Hybrid: 자동검증 60.0점 × 50% + Judge 60.0점 × 50%. Judge: 표본의 대표성과 '모든 제조현장' 확대 문제는 충족했으나, 불확실성(신뢰구간 등)에 대한 언급이 누락되어 감점됨."
GLM-4-9B-0414-Q8_0,D01,Data,0.0,objective,"기대값 86.0, 추출값 [5000.0, 50.0]"
GLM-4-9B-0414-Q8_0,D02,Data,100.0,objective,수치정답 2/2
GLM-4-9B-0414-Q8_0,D03,Data,100.0,objective,정답 0.2687 발견
GLM-4-9B-0414-Q8_0,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
GLM-4-9B-0414-Q8_0,D05,Data,0.0,objective,수치정답 0/2
GLM-4-9B-0414-Q8_0,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 7장으로 요구사항을 위반하여 감점되었으며, 다른 요소들은 기본적으로 충족되고 있으나 전체적인 구조와 명확성에서 개선이 필요합니다."
GLM-4-9B-0414-Q8_0,P02,PPT,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형과 제목은 적절하지만, 수치(5.2%, 4.8%, 3.1%)가 차트에 명확히 표시되지 않아 자동검증에서 실패함. 파일럿 정보는 주석으로 포함되었으나, 차트 내부에도 명시되어야 할 것으로 보임."
GLM-4-9B-0414-Q8_0,P03,PPT,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 70.0점. Judge: 총 5장이지만 각 슬라이드에 핵심 내용이 2개씩 작성되지 않음. VRAM과 양자화 설명은 정확하지만, 멀티에이전트 역할배치 이유 연결이 부족함."
GLM-4-9B-0414-Q8_0,P04,PPT,100.0,objective,필수개념 2/2
GLM-4-9B-0414-Q8_0,R01,Research,100.0,objective,필수개념 3/3
GLM-4-9B-0414-Q8_0,R02,Research,50.0,objective,필수개념 2/4
GLM-4-9B-0414-Q8_0,R03,Research,60.0,hybrid,Hybrid: 자동검증 90.0점 × 50% + Judge 30.0점 × 50%. Judge: 센서 B가 요구조건을 모두 만족한다고 잘못 판단하여 중대 오류. 센서 A는 측정범위와 샘플링에서 탈락해야 하지만 정확도만 만족한다고 표현해 부정확함.
GLM-4-9B-0414-Q8_0,R04,Research,100.0,objective,필수개념 4/4
GLM-4-9B-0414-Q8_0,W01,Writer,75.5,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 80.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 수치와 기간이 정확히 포함되었으나, 분량이 부족해 감점됨. 한 개 라인 한계와 향후 검증 필요성도 명시되어 있으나, 보고서 문체는 기본적임."
GLM-4-9B-0414-Q8_0,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문 용어를 비전공자도 이해할 수 있도록 풀어 설명함. '벡터', '임베딩', '유사 검색'의 의미를 명확하게 전달함. 다만 '근사 최근접 이웃 탐색'은 그대로 사용했으나, 비전문가에게는 여전히 낯설 수 있어 약간의 개선 가능성이 있음."
GLM-4-9B-0414-Q8_0,W03,Writer,80.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 87.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 비용/정확도/기간 수치를 정확히 반영하고 예산과 정확도 우선 권고를 구분했으며 트레이드오프를 설명함. 다만 문장이 다소 단순해 표현의 깊이와 품질에서 약간의 감점이 필요."
GLM-4-9B-0414-Q8_0,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정과 담당 구분은 충족했으나, 금요일 재점검 내용이 약간 누락되었고, 공식 문체보다는 설명성 있는 표현이 강조되어 채점 감점."
Llama-3.2-3B-Instruct-Q4_K_M,C01,Coding,100.0,objective,필수개념 2/2
Llama-3.2-3B-Instruct-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
Llama-3.2-3B-Instruct-Q4_K_M,C03,Coding,80.0,objective,필수개념 4/5
Llama-3.2-3B-Instruct-Q4_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(dict/OrderedDict.fromkeys), 평균 O(n) 설명=PASS"
Llama-3.2-3B-Instruct-Q4_K_M,C05,Coding,100.0,objective,필수개념 3/3
Llama-3.2-3B-Instruct-Q4_K_M,K01,Critic,0.0,objective,필수개념 0/2
Llama-3.2-3B-Instruct-Q4_K_M,K02,Critic,100.0,objective,필수개념 4/4
Llama-3.2-3B-Instruct-Q4_K_M,K03,Critic,64.0,hybrid,"Hybrid: 자동검증 64.0점 × 50% + Judge 64.0점 × 50%. Judge: 모순이 없다는 잘못된 결론을 내리지 않았으나, 기간 모순 핵심 수치(6주, 8주, 약 4주) 중 일부를 누락해 감점됨."
Llama-3.2-3B-Instruct-Q4_K_M,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제는 식별했으나, 수정 방향에서 환경변수/Secret 관리 사용을 명시하지 않아 감점됨. SQL Injection 문제는 정확히 지적했지만, 전체적으로 요구사항에 부합하는 수정 방안이 미흡함."
Llama-3.2-3B-Instruct-Q4_K_M,K05,Critic,92.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 85.0점 × 50%. Judge: 자동 검증 결과 4개 항목 모두 충족. 그러나 '보장'이라는 표현에 대한 직접적인 비판이 부족하고, '모든 제조현장' 확대의 외적 타당성 문제도 명확히 언급되지 않음."
Llama-3.2-3B-Instruct-Q4_K_M,D01,Data,0.0,objective,"기대값 86.0, 추출값 [20.0, 80.0, 30.0, 90.0, 50.0]"
Llama-3.2-3B-Instruct-Q4_K_M,D02,Data,100.0,objective,수치정답 2/2
Llama-3.2-3B-Instruct-Q4_K_M,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.02, 0.9, 0.02, 0.9, 1.0, 0.02, 0.05, 0.018, 0.0478, 0.0658]"
Llama-3.2-3B-Instruct-Q4_K_M,D04,Data,40.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=FAIL, 집계값 내림차순 정렬=FAIL"
Llama-3.2-3B-Instruct-Q4_K_M,D05,Data,100.0,objective,수치정답 2/2
Llama-3.2-3B-Instruct-Q4_K_M,P01,PPT,67.0,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 40.0점 × 55%. Judge: 슬라이드 제목과 메시지가 중복되고, 핵심 메시지가 명확하지 않음. 제2장과 제4장, 제5장은 동일한 내용을 반복하며, 경영진 관점에서의 구체적 근거나 전략이 부족함."
Llama-3.2-3B-Instruct-Q4_K_M,P02,PPT,80.5,hybrid,"Hybrid: 자동검증 100.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형은 적절하지만, 하단 주석에서 '파일럿 라인의 불량률도 3.1%에 도달했다'는 표현이 모호해 파일럿임을 명확히 전달하지 못함"
Llama-3.2-3B-Instruct-Q4_K_M,P03,PPT,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 70.0점. Judge: 5장이 아닌 5장으로 표기되었으나, 각 슬라이드에 핵심 내용이 2개 미만으로 제시되어 자동검증 실패. VRAM 설명은 정확하지만 양자화 설명이 부정확하고, 멀티에이전트 배치 이유 연결이 약함."
Llama-3.2-3B-Instruct-Q4_K_M,P04,PPT,50.0,objective,필수개념 1/2
Llama-3.2-3B-Instruct-Q4_K_M,R01,Research,66.66666666666667,objective,필수개념 2/3
Llama-3.2-3B-Instruct-Q4_K_M,R02,Research,25.0,objective,필수개념 1/4
Llama-3.2-3B-Instruct-Q4_K_M,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 탈락 센서를 적합하다고 판단하는 역방향 주장이 존재함(센서 B의 정확도가 요구조건보다 더 높다고 잘못 기술). 또한, 자동검증에서 지적한 '모두 만족하는 센서가 없'이라는 결론 누락으로 인해 감점."
Llama-3.2-3B-Instruct-Q4_K_M,R04,Research,100.0,objective,필수개념 4/4
Llama-3.2-3B-Instruct-Q4_K_M,W01,Writer,67.25,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 수치와 기간은 포함되었으나, '한 개 라인에서만 검증'과 '향후 다른 라인 검증 필요'가 명확히 표현되지 않았고, 과장된 표현('성공적으로 수행되었다', '기여할 것으로 예상된다')이 포함되어 감점됨."
Llama-3.2-3B-Instruct-Q4_K_M,W02,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 3문장이 아닌 4문장을 사용하여 자동검증에서 FAIL 처리됨. 다른 항목은 기본적으로 충족되었으나, 문장 수 오류로 인해 감점."
Llama-3.2-3B-Instruct-Q4_K_M,W03,Writer,26.0,hybrid,"Hybrid: 자동검증 14.0점 × 40% + Judge 34.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 예산과 정확도 우선 권고를 구분했으나, 대안 A와 B의 수치가 잘못 반영되었고, 예산 우선 시 B안을 추천하는 조건이 누락되어 의미 패턴 미충족. 또한 전체 길이가 과장되어 감점."
Llama-3.2-3B-Instruct-Q4_K_M,W04,Writer,91.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 85.0점 × 60%. Judge: 원인 미확정과 담당 구분, 금요일 재점검을 모두 포함했으나, 공식 문체에서 약간의 비공식적 표현(예: 'clarification', 'further investigation')이 포함되어 감점."
Llama-3.2-3B-Instruct-Q8_0,C01,Coding,100.0,objective,필수개념 2/2
Llama-3.2-3B-Instruct-Q8_0,C02,Coding,100.0,objective,필수개념 3/3
Llama-3.2-3B-Instruct-Q8_0,C03,Coding,20.0,objective,필수개념 1/5
Llama-3.2-3B-Instruct-Q8_0,C04,Coding,100.0,objective,"유효 알고리즘=PASS(dict/OrderedDict.fromkeys), 평균 O(n) 설명=PASS"
Llama-3.2-3B-Instruct-Q8_0,C05,Coding,100.0,objective,필수개념 3/3
Llama-3.2-3B-Instruct-Q8_0,K01,Critic,0.0,objective,필수개념 0/2
Llama-3.2-3B-Instruct-Q8_0,K02,Critic,100.0,objective,필수개념 4/4
Llama-3.2-3B-Instruct-Q8_0,K03,Critic,88.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 88.0점 × 50%. Judge: 모순이 있는 부분을 정확히 지적했으나, '4주'라는 수치를 명시적으로 언급하지 않아 자동검증에서 FAIL된 항목에 대한 감점이 반영되지 않음"
Llama-3.2-3B-Instruct-Q8_0,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: SQL Injection 문제는 정확히 지적했으나, 하드코딩된 비밀번호 문제를 제대로 식별하지 못함. 'password = ""admin123""'은 하드코딩이지만, 'insecurely stored password'라는 표현으로 잘못 해석하여 감점."
Llama-3.2-3B-Instruct-Q8_0,K05,Critic,80.0,hybrid,"Hybrid: 자동검증 80.0점 × 50% + Judge 80.0점 × 50%. Judge: 자동 검증 결과에서 '모든 제조현장'에 대한 외적 타당성 문제를 누락했으나, 나머지 주요 비판점은 충분히 다룸"
Llama-3.2-3B-Instruct-Q8_0,D01,Data,100.0,objective,정답 86.0 발견
Llama-3.2-3B-Instruct-Q8_0,D02,Data,100.0,objective,수치정답 2/2
Llama-3.2-3B-Instruct-Q8_0,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.02, 0.9, 0.02, 0.9, 1.0, 0.02, 0.018, 0.018, 0.98, 0.018]"
Llama-3.2-3B-Instruct-Q8_0,D04,Data,40.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=FAIL, 집계값 내림차순 정렬=FAIL"
Llama-3.2-3B-Instruct-Q8_0,D05,Data,100.0,objective,수치정답 2/2
Llama-3.2-3B-Instruct-Q8_0,P01,PPT,86.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 75.0점 × 55%. Judge: 6장 구성은 충족했으나, 제목과 메시지가 중복되고, 제4장과 제5장의 내용이 거의 동일함. 또한 '결정' 요소가 부재하여 문제→근거→대안/계획→결정 흐름이 불완전함."
Llama-3.2-3B-Instruct-Q8_0,P02,PPT,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형은 적절하지만, 5.2%, 4.8%, 3.1% 수치가 모두 명시되지 않아 자동검증에서 실패함. 파일럿 라인임을 강조한 점은 긍정적이지만, 수치 누락으로 인해 정보량이 부족함."
Llama-3.2-3B-Instruct-Q8_0,P03,PPT,49.0,hybrid,"Hybrid: 자동검증 60.0점 × 45% + Judge 40.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 모든 슬라이드에서 실질적 핵심 내용이 0개로 요구사항을 완전히 충족하지 못함. VRAM과 양자화의 정확한 설명 부재, 멀티에이전트 역할배치 이유 연결 미흡"
Llama-3.2-3B-Instruct-Q8_0,P04,PPT,100.0,objective,필수개념 2/2
Llama-3.2-3B-Instruct-Q8_0,R01,Research,66.66666666666667,objective,필수개념 2/3
Llama-3.2-3B-Instruct-Q8_0,R02,Research,50.0,objective,필수개념 2/4
Llama-3.2-3B-Instruct-Q8_0,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 탈락 센서를 적합하다고 판단하는 역방향 주장이 두 곳에 걸쳐 존재함. 또한, 센서 A의 측정범위가 -30°C를 포함하지 않음에도 불구하고 '사용할 수 있다'고 잘못 기술함."
Llama-3.2-3B-Instruct-Q8_0,R04,Research,100.0,objective,필수개념 4/4
Llama-3.2-3B-Instruct-Q8_0,W01,Writer,59.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 50.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 요약 문단 형식이 아닌 전체 보고서 스타일로 작성되어 문체가 부적절함. 또한, 자동검증에서 지적된 322자 초과 문제는 해결되지 않음."
Llama-3.2-3B-Instruct-Q8_0,W02,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 4문장으로 작성되어 자동검증 결과에 따라 감점됨. 다른 요소는 비전공자 친화적이고 의미를 훼손하지 않았으나 문장 수 준수 실패로 인해 점수가 낮음."
Llama-3.2-3B-Instruct-Q8_0,W03,Writer,26.0,hybrid,"Hybrid: 자동검증 14.0점 × 40% + Judge 34.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 자동검증 결과에서 여러 항목이 FAIL로 표시되었으며, 예산과 정확도 우선 권고를 구분하지 못하고 단정적 결론을 내렸다."
Llama-3.2-3B-Instruct-Q8_0,W04,Writer,97.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 95.0점 × 60%. Judge: 원인 미확정, 담당 구분, 금요일 재점검을 모두 충족했으나, '정체성 확립'이라는 표현이 약간의 과장처럼 느껴져 감점."
Meta-Llama-3-8B-Instruct-Q4_K_M,C01,Coding,50.0,objective,필수개념 1/2
Meta-Llama-3-8B-Instruct-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
Meta-Llama-3-8B-Instruct-Q4_K_M,C03,Coding,100.0,objective,필수개념 5/5
Meta-Llama-3-8B-Instruct-Q4_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
Meta-Llama-3-8B-Instruct-Q4_K_M,C05,Coding,100.0,objective,필수개념 3/3
Meta-Llama-3-8B-Instruct-Q4_K_M,K01,Critic,50.0,objective,필수개념 1/2
Meta-Llama-3-8B-Instruct-Q4_K_M,K02,Critic,0.0,objective,필수개념 0/4
Meta-Llama-3-8B-Instruct-Q4_K_M,K03,Critic,58.0,hybrid,"Hybrid: 자동검증 52.0점 × 50% + Judge 64.0점 × 50%. Judge: 응답은 6주와 7월 31일 간의 모순을 지적했으나, '약 4주' 또는 '30일'과 같은 핵심 수치를 누락해 자동검증에서 FAIL된 항목이 반영되지 않음. 또한 8주치 데이터 분석이라는 모순도 언급하지 않음."
Meta-Llama-3-8B-Instruct-Q4_K_M,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제는 식별했으나, 자동검증 결과에 따라 '요구 의미 패턴 미검출'으로 감점되었음. SQL Injection 문제는 정확히 지적하고 수정 방안도 제시함."
Meta-Llama-3-8B-Instruct-Q4_K_M,K05,Critic,30.0,hybrid,"Hybrid: 자동검증 20.0점 × 50% + Judge 40.0점 × 50%. Judge: 자동 검증 결과에서 지적된 세 가지 주요 문제(작은 표본, '보장' 표현, '모든 제조현장' 확대)가 모두 누락되었으며, 통계적 불확실성에 대한 언급도 부족하다."
Meta-Llama-3-8B-Instruct-Q4_K_M,D01,Data,100.0,objective,정답 86.0 발견
